freq (Hz),dB20((VF("/Vout") / VF("/Vline"))) (dB),Vout (V),Vline (V)
3.141,-93.14,220.4E-9,10.00E-3
3.148,-93.14,220.4E-9,10.00E-3
3.155,-93.14,220.4E-9,10.00E-3
3.162,-93.14,220.4E-9,10.00E-3
3.170,-93.14,220.4E-9,10.00E-3
3.177,-93.14,220.4E-9,10.00E-3
3.184,-93.14,220.4E-9,10.00E-3
3.192,-93.14,220.4E-9,10.00E-3
3.199,-93.14,220.4E-9,10.00E-3
3.206,-93.14,220.4E-9,10.00E-3
3.214,-93.14,220.4E-9,10.00E-3
3.221,-93.14,220.4E-9,10.00E-3
3.228,-93.14,220.4E-9,10.00E-3
3.236,-93.14,220.4E-9,10.00E-3
3.243,-93.14,220.4E-9,10.00E-3
3.251,-93.14,220.4E-9,10.00E-3
3.258,-93.14,220.4E-9,10.00E-3
3.266,-93.14,220.4E-9,10.00E-3
3.273,-93.14,220.4E-9,10.00E-3
3.281,-93.14,220.4E-9,10.00E-3
3.289,-93.14,220.4E-9,10.00E-3
3.296,-93.14,220.4E-9,10.00E-3
3.304,-93.14,220.4E-9,10.00E-3
3.311,-93.14,220.4E-9,10.00E-3
3.319,-93.14,220.4E-9,10.00E-3
3.327,-93.14,220.4E-9,10.00E-3
3.334,-93.14,220.4E-9,10.00E-3
3.342,-93.14,220.4E-9,10.00E-3
3.350,-93.14,220.4E-9,10.00E-3
3.357,-93.14,220.4E-9,10.00E-3
3.365,-93.14,220.4E-9,10.00E-3
3.373,-93.14,220.4E-9,10.00E-3
3.381,-93.14,220.4E-9,10.00E-3
3.388,-93.14,220.4E-9,10.00E-3
3.396,-93.14,220.4E-9,10.00E-3
3.404,-93.14,220.4E-9,10.00E-3
3.412,-93.14,220.4E-9,10.00E-3
3.420,-93.14,220.4E-9,10.00E-3
3.428,-93.14,220.4E-9,10.00E-3
3.436,-93.14,220.4E-9,10.00E-3
3.443,-93.14,220.4E-9,10.00E-3
3.451,-93.14,220.4E-9,10.00E-3
3.459,-93.14,220.4E-9,10.00E-3
